date,gross_return,net_return,benchmark,n_trades,cost_pct,n_countries,rebalanced,is_active,holdings
2024-11-29,0.020599903180714,0.020599903180714,-0.007063054390499701,0,0.0,14,False,False,Brazil|Poland|Turkey
2024-12-31,-0.015101701530061698,-0.0205017015300617,0.0184338587295505,4,0.0054,12,True,True,Brazil|Malaysia|Mexico
2024-12-31,-0.015101701530061698,-0.015101701530061698,0.0184338587295505,0,0.0,1,False,False,Brazil|Malaysia|Mexico
2025-01-31,0.0301033512444443,0.0301033512444443,0.00430943905867287,0,0.0,13,False,False,Brazil|Malaysia|Mexico
2025-02-28,-0.0044042926451283645,-0.0044042926451283645,0.002677734222505279,0,0.0,13,True,True,Brazil|Malaysia|Mexico
2025-03-31,-0.0260637826667257,-0.0260637826667257,-0.033347204730044155,0,0.0,13,False,False,Brazil|Malaysia|Mexico
2025-04-30,0.018949511413795698,0.018949511413795698,-0.03353498324847537,0,0.0,14,False,False,Brazil|Malaysia|Mexico
2025-05-30,-0.005434155830399533,-0.010834155830399534,0.048348825717164035,4,0.0054,14,True,True,Brazil|Poland|Thailand
2025-06-30,-0.0004378957567187323,-0.0004378957567187323,0.022484299587792522,0,0.0,13,False,False,Brazil|Poland|Thailand
2025-06-30,-0.0004378957567187323,-0.0004378957567187323,0.022484299587792522,0,0.0,1,False,False,Brazil|Poland|Thailand
2025-07-31,0.05524736925567147,0.05524736925567147,0.047879114910802656,0,0.0,14,True,True,Brazil|Poland|Thailand
2025-08-29,-0.0081742656148402,-0.0081742656148402,-0.009418459712237759,0,0.0,13,False,False,Brazil|Poland|Thailand
2025-09-30,0.025216304579815534,0.025216304579815534,0.05911865000658145,0,0.0,1,False,False,Brazil|Poland|Thailand
2025-10-31,0.05218703359332166,0.05218703359332166,0.060176860890270634,0,0.0,14,False,False,Brazil|Poland|Thailand
2025-11-28,0.016223440097554498,0.016223440097554498,-0.029312550667444537,0,0.0,13,False,False,Brazil|Poland|Thailand
2025-12-31,0.0111357679452101,0.0111357679452101,0.01540918380945877,0,0.0,1,False,False,Brazil|Poland|Thailand
2026-01-30,0.08724690775957233,0.08724690775957233,0.0740219172870098,0,0.0,14,False,False,Brazil|Poland|Thailand
2026-02-27,0.09838153688554753,0.09568153688554754,0.05809576330064847,2,0.0027,13,True,True,Mexico|Poland|Thailand
2026-02-27,0.09838153688554753,0.09838153688554753,0.05809576330064847,0,0.0,1,False,False,Mexico|Poland|Thailand
2026-03-27,-0.07726225407175807,-0.07726225407175807,-0.07977272873498709,0,0.0,12,False,False,Mexico|Poland|Thailand
2026-03-27,-0.07726225407175807,-0.07726225407175807,-0.07977272873498709,0,0.0,0,False,False,Mexico|Poland|Thailand
